idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,Validation hash
2788,choreos/choreos_middleware,Java,0.96793,2,0,0.096141,50.695652,4.217391,1,29364,0.300909,12,1,1,1,1,02b18d5ec4b21a4b44fea8207456216114f40cbf
1726,alexnederlof/Jasper-report-maven-plugin,Java,1.0,1,1,0.201569,1.935484,0.548387,1,1097,0.406742,43,0,0,1,1,a10d07b217c28da38b6399a8282a5a2cd33109c4
2460,datasift/dropwizard-extra,Java,1.0,1,0,0.387749,13.741935,1.032258,1,6409,0.387701,96,1,1,1,1,b65d69ef8966c5cb39e8ae17abc8509bd5710010
250,Xyene/ASM-Late-Bind-Agent,Java,1.0,1,0,0.213018,0.0,0.0,0,416,0.416382,12,0,0,1,0,312d49077df4193b72e8c703e14fd1be427b731e
413,sanity/quickml,Java,0.964912,3,1,0.077219,24.547619,1.666667,1,8880,0.253663,174,1,1,1,1,3795d6d759ff8845ec5fab26bc49197ba597420e
545,githublemming/CloudTrailViewer,Java,0.973333,1,0,0.316459,8.333333,0.0,1,5860,0.28923,16,1,0,1,1,11aed9194162cd8cdc6a204c7f9d24caf352280d
1193,newrelic-platform/metrics_publish_java,Java,0.862069,2,0,0.243298,7.714286,2.357143,1,2578,0.434883,14,1,1,1,1,76efb0d7a2919896c6c73f2d1336d6ef4a5ea555
738,jOOQ/jOOL,Java,0.925532,1,1,0.41595,14.5,7.166667,1,6612,0.409237,465,1,1,1,1,1c943c5aebef301e1169e4315d6c0a7cc317af4c
310,caskdata/netty-http,Java,0.977273,4,1,0.332888,12.428571,1.571429,1,4155,0.356867,13,1,1,1,1,92bdf02ed4c8887dd075bf48a3fc25f22f8c3e65
893,benjiman/expressions,Java,1.0,1,0,0.000281,4.538462,0.076923,1,3575,0.427399,20,0,1,1,1,7ed6748aca423f4688b84167828a89ca805c3793
1131,gaillard/mongo-queue-java,Java,1.0,1,1,0.175393,0.0,0.0,0,685,0.647458,14,0,0,1,0,72cf50c6f1e5c31258eea0aa16f54883a306bf32
2745,ops4j/org.ops4j.pax.web,Java,0.955774,3,1,0.198047,25.735849,0.509434,1,53531,0.276491,81,1,1,1,1,f3350d3bc942109505d17497a8a23900f3abe7c3
15,PeerWasp/PeerWasp,Java,0.97191,2,0,0.177636,0.0,0.0,1,24201,0.352119,20,1,0,1,1,92ec5b3d0eee66599d7c2a350a986205bf9a0be6
1750,mmay/PigJsonLoader,Java,0.5,1,0,0.2397,0.0,0.0,1,220,0.384236,15,0,0,1,1,83c4ba806f6105eb443221660186b00a3f90ae99
721,josephw/titl,Java,1.0,1,0,0.217257,1.083333,0.0,1,4317,0.340471,17,0,0,1,1,e7060370973d624d5c7b18f82303407b76421501
1420,undera/perfmon-agent,Java,0.989691,2,1,0.161371,3.857143,0.285714,1,5385,0.401091,13,1,1,1,1,3426343b1af97fd8a2bf6695f086e56894f311f4
2487,JakeWharton/DiskLruCache,Java,1.0,2,1,0.180274,4.4,2.028571,1,2086,0.551724,2331,1,1,1,1,3e016356cfc7e5f9644a7a732fe0223e9742e024
981,futuresimple/android-schema-utils,Java,0.727273,1,0,0.115472,6.0,0.1875,1,2284,0.344788,35,1,1,1,1,d02af7f4f885ac561423133937f205437a194286
2298,kevinsawicki/etag-cache,Java,1.0,1,1,0.241582,5.090909,0.363636,1,930,0.45037,25,1,1,1,1,6a43063938f708c51c571842eaa922968c32723b
2390,lastfm/musicbrainz-data,Java,0.982456,1,0,0.257672,5.3125,0.5,1,2863,0.413583,94,1,1,1,1,45d55e63f0892804ae1dd94c9d9b4fc241441968
2286,pentaho/modeler,Java,0.943396,9,0,0.189292,12.111111,2.777778,1,22812,0.253284,28,1,1,1,1,948756678195b67cbf5a78d0acb1bf5d1ab9d2fd
363,ReactiveX/RxJavaString,Java,0.6,5,1,0.255422,3.5,0.928571,1,1004,0.449118,59,1,1,1,1,3e73b759ff7bffd5d2e1c753630c5408cb5f9e5e
1790,bsblabs/embed-for-vaadin,Java,0.769231,1,0,0.402728,4.714286,0.071429,1,1936,0.416609,13,1,1,1,1,f902e70def56ab54d287d2600f9c6eef9e66c225
182,tim-group/narrative,Java,0.941176,0,0,0.126202,0.0,0.0,1,855,0.729045,25,0,0,1,0,99e70a5c4a3361b7701d83a3a7f5d4ddfab35381
985,katjahahn/PortEx,Java,0.818966,1,1,0.388158,34.588234,0.176471,1,13514,0.255172,56,1,1,1,1,843a7792b32b2efb40ec7cbe4e19c54786b94a80
2399,sboesebeck/morphium,Java,0.889503,1,0,0.122467,16.885714,0.142857,1,20187,0.380335,28,1,1,1,1,0c1edd7fe938a00940c77887cebd799a8ec401e5
1194,sksamuel/elasticsearch-river-redis,Java,0.933333,1,1,0.043011,2.5,0.375,1,1194,0.487734,54,1,1,1,1,5d0bf5802b0c30f3759eb9c643897c9a00f8e002
1583,jbrains/TrackEveryPenny,Java,0.946429,1,0,0.054655,47.0,4.0,0,2041,0.605405,16,0,1,1,1,359b201e3a514885d3523caf9200cfa4536a1efb
1501,SvenEwald/xmlbeam,Java,0.897143,2,0,0.317588,17.583332,1.0,1,12380,0.351501,27,1,1,1,1,521f5aa62c72a5b34417dbbf5d2ba51a7683c16e
1121,timboudreau/giulius-selenium-tests,Java,0.807692,1,0,0.251213,2.210526,0.0,0,2119,0.661585,12,0,0,1,0,c58b5f574fb22bbefb6cffe645f8f63dad163c37
187,jitsi/jicofo,Java,0.991935,3,0,0.279502,28.5,3.25,1,15016,0.343929,18,1,1,1,1,841569fa3d784797f59476f4b6b6f561d5e696a0
619,neo4j-contrib/cypher-dsl,Java,0.981818,6,0,0.373306,3.184211,0.526316,1,6460,0.383562,44,1,1,1,1,14ca0133ebb729c80fb168ee846c4ba4d567d31c
1451,owlike/genson,Java,0.914894,1,1,0.119387,7.28,2.04,1,21248,0.272524,89,1,1,1,1,e00ef3190f91d7bc449d9e165a46cd465d17c1fd
1175,jkee/gtree,Java,1.0,1,0,0.151969,4.0,0.263158,1,1155,0.273114,12,1,1,1,1,d9c84815037fee338474034e2405028ca1357e37
1868,alexholmes/hadoop-utils,Java,1.0,1,0,0.333108,1.083333,0.166667,1,3028,0.327606,22,0,0,1,1,5c5bf4f88345055ccd85cdc8d8103f08e9d394f8
2073,thehiflyer/Fettle,Java,0.944444,1,1,0.063158,2.689655,0.086207,1,2878,0.622937,21,1,1,1,1,d099bf9e8d0d65c48c4065d5a507665c5e3f302c
614,querydsl/apt-maven-plugin,Java,0.833333,1,1,0.143382,1.558824,0.235294,1,959,0.353887,23,0,0,1,1,b60bb8eafbda1e011bc9fcaefc0bd2860e6d161e
1928,robotframework/SwingLibrary,Java,0.975694,4,0,0.111872,5.682927,1.292683,1,14791,0.612604,31,1,1,1,1,dcd3c198efd383a7bd50e8723149b25c29791e70
994,theganyo/gcm-server,Java,1.0,1,0,0.268281,0.777778,0.111111,1,1511,0.52028,13,0,0,1,1,b44aa53b05e61f950a76586baf14cc59479dda3c
934,grahambrooks/bvira,Java,1.0,1,0,0.051241,0.175,0.025,1,591008,0.28852,11,0,0,1,1,2acd3aaf80a57309b4bfaf6bbc2f434352096d35
371,ronshapiro/rxjava-priority-scheduler,Java,0.75,1,1,0.126106,3.5,1.0,0,438,0.436275,24,0,0,1,1,c8165f5ed0431d0add6d3badc180145415fb8459
1725,chadlung/SimpleSpringHibernate,Java,0.8,0,0,0.004049,0.0,0.0,0,246,0.421053,11,0,0,1,0,d62da43b8443dfbc28cb41c03f5f8c2583764676
2042,mguillem/JSErrorCollector,Java,1.0,2,0,0.173529,1.195122,0.536585,1,562,0.52381,78,1,0,1,1,e7ff9c3787b9adaed4f7bf94dc8bb4ee8d95ddce
593,davidmoten/rxjava-file,Java,0.833333,1,1,0.227628,11.7,0.4,1,982,0.394118,29,1,1,1,1,515b781521272e779e08988bb3006c6dc454ca39
726,audit4j/audit4j-core,Java,0.904762,1,0,0.491733,10.666667,0.416667,1,9665,0.26291,40,1,1,1,1,4e08cbfcf0bb05141fe0b96ff058562e3cb12a7f
826,sford/yet-another-commit-checker,Java,0.947368,3,1,0.118874,8.777778,5.0,1,1919,0.479008,37,1,1,1,1,1f1017a068471156547d13b2d46e17cb8646367d
687,chenlb/mmseg4j-solr,Java,1.0,1,0,0.225275,2.545455,1.181818,1,1018,0.387097,208,1,1,1,1,8f281b128369c02d5c690c1c9bf9f216a7450309
2725,hibernate/hibernate-orm,Java,0.977016,10,0,0.293014,83.731186,9.946237,1,579807,0.304776,1656,1,1,1,1,53a8d5cd8e1b34e93a00903cc676a2c56962903d
136,RealTimeGenomics/rtg-core,Java,0.993497,2,0,0.240587,18.5,0.0,1,326452,0.488244,17,1,1,1,1,0dddf5b0154ed3d1dc740786301ba56ee089b149
628,kolorobot/spring-boot-thymeleaf,Java,0.833333,1,0,0.024014,0.9,0.0,0,574,0.330709,45,0,0,1,0,00cb739087a7d933fbf3bca716fd06b4b362a996
334,priyankshah217/AppiumTestAutomation,Java,0.76,1,0,0.069498,27.0,0.0,0,1005,0.27261,16,0,0,1,0,8eb1ccda5dd9cf5ae39a952729f38c81378fc132
2189,danbev/migrate,Java,0.904762,1,0,0.094595,13.0,0.4,0,1334,0.364103,23,0,0,1,1,d6168d36e98e3ed5e9fa86dc0851685090c06406
2176,stefanbirkner/system-rules,Java,0.931034,1,1,0.202887,5.804878,0.609756,1,1976,0.859409,85,1,1,1,1,27f3eee0355f1ba753c035561211c96308a6a500
1109,searchisko/searchisko,Java,0.928125,3,1,0.162375,42.157894,11.105263,1,44796,0.60048,13,1,1,1,1,3d79565d1917a1fa45793c3c3ae4d78d1ebc7444
1623,kylinsoong/jBPM-Drools-Example,Java,0.920319,1,0,0.081113,4.551724,0.0,1,19348,0.305374,17,1,0,1,1,d87f94de226f076bc6258464685f9dac6e36aca2
2547,lukas-krecan/future-converter,Java,1.0,1,0,0.213958,7.6,0.4,1,2525,0.476791,24,1,1,1,1,60f8e83e1c256992cafa7b4666a525eb23869eae
710,lsds/SEEP,Java,0.962963,5,0,0.358119,23.166668,0.388889,1,36323,0.361378,17,1,1,1,1,53179692897b314e4c5ab84efbf33c916ee817d3
1039,spring-projects/spring-data-gemfire,Java,0.964844,4,0,0.219513,18.555555,2.074074,1,60219,0.510639,50,1,1,1,1,2fa8469cd09f5aba9ccd248d5a27fc4bbbbc9499
1775,langmi/spring-batch-tutorials,Java,0.25,1,0,0.344371,2.423077,0.0,1,919,0.883929,18,1,0,1,1,274baf9074cc10161bc9fe6dd8e3d4a837af10d4
1659,twotoasters/hoot,Java,0.896552,5,0,0.251824,12.75,2.25,1,2204,0.38566,28,1,1,1,1,e9ac7f2c84396e7d492df24269184be4d6ef2dae
1876,CarlosZ/payments4j,Java,1.0,0,0,0.046563,0.0,0.0,1,29618,0.262284,18,0,0,1,1,11ade8519e2505be75fd8709d2acfb62c96af9aa
2606,uklimaschewski/JMXWrapper,Java,0.785714,1,0,0.342336,0.952381,0.333333,1,1076,0.513948,15,0,0,1,1,80fad1cb25a7af68ba412c298ca11e7edc979eca
2381,timmolter/Yank,Java,0.806452,1,1,0.415003,3.717391,0.521739,1,1283,0.304551,51,1,1,1,1,a2efe6b5090f287027d72db0167a7d855894e2e1
1112,apache/logging-log4j2,Java,0.930684,4,0,0.293681,75.03125,0.25,1,110802,0.349528,105,1,1,1,1,998cffecc614a6214a6076378610c485a48c1f79
465,kaazing/robot,Java,0.983784,3,0,0.254918,40.125,7.625,1,31159,0.422489,20,1,1,1,1,f3f215fea11e9b2bccd519c1d70fe705992bc305
1223,camunda/camunda-bpm-examples,Java,0.917526,8,0,0.286218,17.090908,0.409091,1,20236,0.323983,63,1,1,1,1,600cc1f6db80a7779c02c0f6bae052ed499c305b
1752,tdziurko/Guava-Lessons,Java,0.65,1,0,0.163333,0.0,0.0,0,1506,0.809719,85,0,0,1,0,ad542e9528170ff11d935c7b3a2f0e5a4e6303fb
2799,tehapo/Clara,Java,0.911765,1,1,0.154925,5.2,0.633333,1,2563,0.365435,33,1,1,1,1,88a2ef58d49a2bf74325bbf66e0b4616ae5e854d
2213,softwaremill/softwaremill-common,Java,0.934307,6,0,0.144989,8.933333,1.866667,1,18663,0.367027,36,1,1,1,1,c58895b43ab55c2ec969326f807e3db44ce826b9
1104,ajccom/phonegap-weixin,Java,1.0,2,0,0.310414,1.6875,0.375,0,1136,0.304659,38,0,0,1,1,d3084147cdda07c8a9f10739de630c4c56c5ac17
1784,jexp/neo4j-java-rest-binding,Java,0.986111,2,0,0.058363,9.1,0.0,1,4747,0.3306,21,1,0,1,1,93b3df3dc6591584baa4daf8edc3643a6e48a03f
338,square/burst,Java,0.88,3,1,0.138175,20.0,5.833333,1,1487,0.276515,328,1,1,1,1,e6af132e6b9badab699999cfd1764f11636ca00a
1872,urbanairship/hbackup,Java,0.977778,3,0,0.130607,7.916667,1.666667,1,3377,0.276387,19,1,1,1,1,be498fb5f2303923395a236f1c551b16bd53f8d3
1720,anuragphadke/Flume-Hive,Java,0.994755,0,0,0.228833,0.0,0.0,1,82930,0.263252,16,0,0,1,0,23fe7ca1c322897e5dc59c702d0c0d19411784ef
2376,samskivert/jmustache,Java,1.0,1,1,0.15373,2.692308,1.076923,1,2675,0.403951,277,1,1,1,1,f7054a673cca04db6ca3009df97e07d2e63bdb04
1793,OpenTSDB/asynchbase,Java,0.986842,2,1,0.375099,7.0625,2.125,1,15744,0.361827,385,1,1,1,1,40a5c8b8d4f605354c19765d44d1fc42ee857a69
1508,motech/MOTECH-Ghana,Java,0.974937,0,0,0.163552,0.0,0.0,1,46376,0.39952,12,0,0,1,1,624e1f8669675f4bf667ef6a5ec58cb7a7553b5a
2383,ops4j/org.ops4j.pax.url,Java,0.895062,5,0,0.298703,4.423077,0.25,1,12680,0.377891,20,1,1,1,1,c69906d3fbf4f897106e6703c4d8732121299efa
816,HdrHistogram/HdrHistogram,Java,0.956522,2,0,0.318484,24.0,3.285714,1,13368,0.36733,929,1,1,1,1,7b0edce258c0847387e3ed532057556b1cc6bd9d
1067,Pivotal-Field-Engineering/pxf-field,Java,0.844444,1,0,0.08917,2.05,0.15,0,5482,0.30048,14,0,0,1,1,31b63c139fe2541d6a78e10157708efb44876168
274,bodar/totallylazy,Java,0.990079,2,0,0.015047,19.333332,0.259259,1,29020,0.273582,137,1,1,1,1,1cfaf9e65f8d9aa3c9cb68f28e3edb90114b5f41
2116,jOOQ/jOOR,Java,1.0,1,1,0.466936,2.157895,0.394737,1,1116,0.365228,578,1,0,1,1,7c27785e5c82bd60bb73a5eee569f3d0fb4df01b
865,apache/uima-uimafit,Java,0.934708,1,0,0.379462,6.571429,0.071429,1,23169,0.433019,11,1,1,1,1,6742ffc196539bf57547c7ef81938a3b446a2155
101,tarql/tarql,Java,1.0,1,0,0.104421,2.26087,0.217391,1,2135,0.42198,60,1,1,1,1,b06b4dd0699bd2f664e11f3937bca63d80017d84
2020,jottinger/ci-bayes,Java,0.764706,2,0,0.017059,5.0,0.0,1,1210,0.373643,26,1,0,1,1,53318b75da8e64a42dfe0835bdd088aba76f5d58
2611,uniVocity/univocity-parsers,Java,0.973154,1,0,0.444017,18.75,1.5,1,9881,0.343432,176,1,1,1,1,7e7d1b3c0a3dceaed4a8413875eb1500f2a028ec
107,Microsoft/AppInsights-Android,Java,0.981651,4,0,0.283306,94.0,1.5,1,8589,0.389236,40,1,1,1,1,54194b851acfe2af6472e9cb4e5a17a3b3fc33ec
1670,Atmosphere/wasync,Java,0.981818,1,0,0.284283,12.214286,4.321429,1,6265,0.466227,111,1,1,1,1,6ba81a5b02c2ef0ab02c9081d93049f8b2317621
2818,wakaleo/game-of-life,Java,0.432432,2,0,0.03315,10.9,0.95,1,675230,0.629067,1559,1,1,1,1,c24bb1ae41bfd5980ce9f0aa8b9a636b920c71fd
1905,mjedynak/Builder-Generator,Java,0.984375,1,0,0.08931,3.076923,0.410256,0,3436,0.529079,33,0,1,1,1,d01060d65ede31cc077d5a4445b91654740b86b5
1754,kwo/mojaha,Java,0.933333,0,0,0.223326,0.0,0.0,1,1529,0.396552,16,0,0,1,1,7d862b35281b85f94d83140c4cdc59b2f22d735a
1578,phunt/avro-maven-plugin,Java,1.0,0,0,0.274627,0.0,0.0,1,243,0.317919,26,0,0,1,1,ab70582ed10d1103e73205225dcdfdf09507875c
2060,megamattron/collections-generic,Java,1.0,1,0,0.448954,0.0,0.0,1,43844,0.369371,22,0,0,1,0,996b7e61b7c06e7cbe35005f7ad39df66eef2bb0
2161,arquillian/arquillian-extension-persistence,Java,0.969595,1,0,0.296682,6.102564,0.974359,1,17296,0.320332,55,1,1,1,1,8b4e2f8f5e807488e0fe216061bd1859729b11e1
2206,marcuspocus/hazelcast,Java,0.916667,2,0,0.08243,1.222222,0.444444,0,1692,0.381241,24,0,0,1,1,1efc129486e8c21346251ec1b8851f709749cedf
1972,ronniedong/Expect-for-Java,Java,1.0,1,0,0.268793,0.5,0.571429,1,721,0.523364,22,0,0,1,1,816f7d228a0f6a4f289a82905dcc71da8f4ad5f2
1927,mironal/GlacierTools,Java,1.0,1,0,0.164875,80.0,1.5,1,2994,0.288482,11,1,1,1,1,db244b8ad45b57cda8fff434545e39730d144138
712,carlol/AndroidCardFlip,Java,0.333333,1,0,0.178218,7.0,0.0,0,298,1.0,13,0,0,1,0,6143fbde5664b82b21542bfa293b011da8d65dbf
72,pusher/pusher-websocket-java,Java,0.830189,1,0,0.153589,4.952381,0.142857,1,4195,0.456475,94,1,1,1,1,d0a7ea80cba4dffa45bff8e6a4fd9767acb8cb6d
2138,lmco/eurekastreams,Java,0.990095,8,0,0.248539,5.657143,0.828571,1,425932,0.430376,175,1,1,1,1,782197c222bb400cbc9fcea7165a7136abf5a932
2418,ddopson/java-class-enumerator,Java,1.0,1,0,0.025806,0.181818,0.136364,1,194,0.319672,31,0,0,1,1,6f6d17c9c5f78d348cf3a07d6701cda028bc4b8b
2723,Ardesco/Ebselen,Java,0.985714,2,0,0.128793,3.5,0.107143,1,36521,0.298884,50,1,1,1,1,4c8e198961565b5a6aece785b1b0e55783566daa
481,google/Refaster,Java,0.891566,1,0,0.306816,55.0,0.0,1,8966,0.383557,51,1,0,1,1,23ef58558c797420cf4b08a3f8cc66003350197e
2091,jsfunit/jsfunit,Java,0.944767,2,0,0.253458,3.607143,0.214286,1,39964,0.511248,18,1,1,1,1,ffc0d517019ab5c96500c7553b8fc8d8b7c6a15a
2293,apache/httpcore,Java,0.928839,2,0,0.316958,6.657534,0.136986,1,54009,0.456354,78,1,1,1,1,b26a559078d15dc00e387eea4b824391e3bef590
1514,openstat/ip-radix-tree,Java,1.0,0,0,0.33518,0.0,0.0,1,267,0.4125,12,0,0,1,0,4eb70f896cec5160c82a1e9c11a220c21bbad08f
2793,nuxeo/nuxeo-core,Java,0.984436,6,0,0.240715,48.224998,0.225,1,128106,0.314314,14,1,1,1,1,9d99d2bc57243c23fb4fb6ddd93d48ffbe0fee35
1490,balanced/balanced-java,Java,1.0,4,1,0.021153,14.173913,4.434783,1,5472,0.287729,20,1,1,1,1,84402f950c07e3f9681b9cb4c6aa8d56d31bdc5e
1171,wiselenium/wiselenium,Java,0.992366,1,0,0.500633,10.0,0.0,1,4552,0.370022,29,1,0,1,1,15de6484d8f516b3d02391d3bd6a56a03e632706
2315,SeleniumHQ/fluent-selenium,Java,0.98913,1,0,0.035667,9.916667,0.166667,1,10518,0.515133,56,1,1,1,1,f10634d63788058f6ad432654b8adebe047890bd
2194,chirino/hawtdb,Java,1.0,2,0,0.268115,1.575758,0.30303,1,11067,0.254794,48,1,1,1,1,73a8111584869b5bf143ac2ffcc4b8a201695bfd
2089,jenkinsci/embeddable-build-status-plugin,Java,0.733333,5,0,0.290909,1.647059,0.441176,0,618,0.271795,37,0,0,1,1,8d24ce53ad031db4f3996c8898316b7c1890f548
1844,ncolomer/MapPush,Java,0.9,1,0,0.10536,8.142857,0.0,1,994,0.436464,16,1,0,1,1,d3b22e5559781f0c7d575725d37df0ad9302e54f
405,airbnb/kafka-statsd-metrics2,Java,0.857143,1,1,0.212233,0.0,0.0,1,1205,0.435132,53,0,0,1,1,4f320c8c7118b7b8823e5b4db78baab5a02d4571
757,lessthanoptimal/ejml,Java,0.991614,2,1,0.354786,4.244898,0.142857,1,50301,0.285469,107,1,1,1,1,ed7cad3a76057b3000c3a69d65a21be2488bc76b
2674,elasticsearch/elasticsearch-river-couchdb,Java,0.888889,3,0,0.161582,4.657895,2.368421,1,1879,0.435193,159,1,1,1,1,dc669a7dd5316fdcc1c33d4fa58d7290451b88b1
2063,raymyers/JHaml,Java,0.972222,1,0,0.069282,2.631579,0.289474,1,2696,0.354274,76,1,1,1,1,3da0c2c2b1f581e5f19bd999b696db1f942dc340
1684,jankotek/MapDB,Java,0.981818,1,1,0.15157,38.677418,14.967742,1,56574,0.554783,1843,1,1,1,1,7aabec8d3f22010be78353906923d8fbae173f99
97,expercise/expercise,Java,0.979695,2,1,0.057598,28.75,2.0,1,18572,0.312765,21,1,1,1,1,02ee5b54898a9848019c0aa716c424328c97e918
1333,AdoptOpenJDK/lambda-tutorial,Java,0.888889,2,1,0.533866,15.9,1.6,1,1489,0.317073,75,1,1,1,1,dc4585d33f5910409ff180ffbc07614f7d6a3850
2254,elasticsearch/elasticsearch-analysis-icu,Java,0.95,4,0,0.307411,4.052632,1.210526,1,1592,0.469114,120,1,1,1,1,c4bc0e27cdb6e78be8886ebd5415a461a76c0adb
743,surech/halarious,Java,1.0,1,0,0.405356,4.142857,1.857143,1,1033,0.296703,23,1,1,1,1,e9245e82504673288d1ca13779a2f74fe03f5fcc
806,spotify/trickle,Java,0.974359,2,0,0.255728,11.454545,1.0,1,2714,0.528264,257,1,1,1,1,d02fafb5d65e7f70f7708edf2c2e39731e921922
2618,f2prateek/rx-preferences,Java,1.0,1,0,0.061203,4.5,0.0,1,969,0.278846,588,1,0,1,1,4f0d5087ab6bda379e33eeda1076751f5e6af171
1700,edwardw/high-scale-java-lib,Java,1.0,0,0,0.296598,0.0,0.0,0,6486,0.266285,18,0,0,1,0,01eb822b6327fa3882c78333e4548b88d36a85d9
2466,myabc/markdownj,Java,0.947368,1,1,0.174129,0.864407,0.372881,1,2988,0.301115,316,0,1,1,1,f8ed00caeb69fc602aa2209812d953c26c2a4263
1535,jannehietamaki/mungbean,Java,1.0,0,0,0.229259,0.0,0.0,1,6465,0.256367,22,0,0,1,1,00f35dbb8259489bd12018be9da07bee3960c011
1842,apache/directory-server,Java,0.954713,2,0,0.325385,20.384615,0.0,1,229908,0.432346,25,1,0,1,1,4941c2565d374632193d93920e0bc870fe3a1e24
1803,Ninja-Squad/DbSetup,Java,0.956522,1,1,0.380683,3.529412,0.970588,0,4119,0.540602,84,0,1,1,1,e520dc610ecd60f1e0a8e776a07de772dc6a5692
148,bedatadriven/jackson-datatype-jts,Java,1.0,2,0,0.0,0.8,0.1,1,510,0.320574,16,0,0,1,1,df56dc9b3de8620024879bb979a2da3ec48c07b7
1586,cowtowncoder/java-cachemate,Java,0.805556,1,0,0.362916,0.0,0.0,1,2398,0.296637,13,0,0,1,1,cabd2109bf9960cd89688a7ec69d014c9d116532
1847,vladimirvivien/jmx-cli,Java,1.0,1,0,0.228195,0.833333,0.333333,1,2168,0.372605,31,0,0,1,1,f600a91da4ae0b6273a7224f10a7d15f3bc3ac01
1706,enix12enix/sikuli-remote-control,Java,0.826087,0,0,0.0,0.0,0.0,0,1019,0.295014,28,0,0,0,0,a2f86767920883360d7376557d4227a5f3d9a23e
2173,ops4j/org.ops4j.pax.runner,Java,0.981366,4,0,0.252071,2.039216,0.137255,1,21683,0.262941,42,1,1,1,1,e2a96b5af5d9fe095d5ec5d354b72d341a5dbbba
692,giltene/PauselessHashMap,Java,1.0,2,0,0.239913,6.5,1.5,1,2449,0.318643,101,1,1,1,1,e837692d3b1621cfebaf4dcfc8a927bc6b653c36
818,edwardcapriolo/farsandra,Java,1.0,1,0,0.072997,5.0,0.583333,1,1656,0.516387,24,1,1,1,1,0c7dd9faf9eaa5d0ed2af0a16f9092cf27bf3aaf
1386,alibaba/druid,Java,0.994279,3,0,0.159317,91.844444,17.933332,1,198835,0.413559,2849,1,1,1,1,dac1f48b207e75a55d98d761d034d96c45475d98
2148,lusis/zmq-appender,Java,0.9,1,1,0.008,2.75,0.75,1,912,0.25753,15,1,1,1,1,d4ac192bf6ef677ad2b32eec9e81921ec51b08c9
2436,Ardesco/selenium-standalone-server-plugin,Java,0.947368,2,0,0.097802,5.441176,0.529412,1,2261,0.335098,27,1,1,1,1,262d793db60cdc1b2a3ea064d0d9aee264fa2147
2320,tnm/murmurhash-java,Java,1.0,1,0,0.211712,0.676471,0.117647,0,383,0.662551,39,0,0,1,0,1cef5b1bdb1856d1d4d48b5572f35baacb57d0f5
701,esammer/mrunit,Java,0.975,0,0,0.319696,0.0,0.0,1,3967,0.499733,11,0,0,1,1,0c955880d44761b20744799bbffebcdb42f0d92a
2607,jhannes/eaxy,Java,1.0,2,0,0.003271,1.961538,0.384615,1,3103,0.398365,36,1,1,1,1,5e866403436848af75970d470b620d1f717c8bac
2508,EmirWeb/parchment,Java,0.955224,1,1,0.032001,14.428571,3.0,1,7687,0.370585,96,1,1,1,1,0aa82ea06a697bfb201ae1b976505432991a1fd9
921,continuumsecurity/bdd-security,Java,0.842857,2,0,0.127157,8.5,0.590909,1,10082,0.252389,88,1,1,1,1,095a59419344255480436c9b6140c953ceccfc49
1424,linkedin/rest.li,Java,0.976493,13,0,0.208961,30.24,1.56,1,212552,0.435402,1062,1,1,1,1,5fcecbb7ad0c65b148b7669510ba6f0900b719fa
905,coderoshi/glassmirror,Java,0.441558,1,0,0.151747,4.0,0.0,1,7003,0.301071,16,1,0,1,1,62f467b4de81c7b1e1cf8aca10a65e7af1e780ca
454,neo4j-contrib/javascript-plugin,Java,0.857143,2,0,0.277409,5.714286,0.0,1,1305,0.734951,11,1,0,1,1,7e48360edac34a23e174432b826e153c8efae104
1963,eclipse/tycho,Java,0.814159,3,0,0.176265,5.418605,0.139535,1,89482,0.273691,41,1,1,1,1,9c4bbf9b4f2e9dd14b1e1946119ff0e787c60833
2171,npryce/goos-code-examples,Java,1.0,1,0,0.03634,0.0,0.0,1,3023,0.53174,31,0,0,1,1,454e633e526daeda3732b8072233ba6137ad98b3
1584,vkostyukov/la4j,Java,1.0,3,1,0.285089,30.692308,9.807692,1,13253,0.292254,207,1,1,1,1,dd1b917caf9606399a49afa6b0d738934cd3a7b3
167,gilbutITbook/006746,Java,0.964045,1,0,0.060913,0.0,0.0,0,12900,0.266379,11,0,0,1,0,86458f1c9a0adfa5b7596f6d0dce63b1262894b9
730,jmurty/java-xmlbuilder,Java,1.0,3,0,0.47946,1.179104,0.119403,1,2071,0.280279,38,1,1,1,1,0fbd3bc7512f5054711fa6d9ba7160d07ede9cf3
2034,loicfrering/jersey-spring-security,Java,0.4,0,0,0.070822,0.0,0.0,0,328,0.509434,11,0,0,1,0,5066b155a923298bdfc577d58687018b06e38255
1310,jberkel/pay-me,Java,0.970588,1,1,0.186933,5.75,0.5,1,3106,0.476335,60,1,1,1,1,8bdd31bcd8ce176cb598d7592cef7292917f8892
26,intuit/tank,Java,0.923458,1,0,0.280756,0.0,0.0,1,310164,0.305264,21,0,0,1,0,0593cc431d5ec4453fe77c45ef27d85bd1883b77
2054,jakedouglas/fnv-java,Java,1.0,1,0,0.001174,0.0,0.0,1,862,0.949761,16,0,0,1,0,0b2cb5506d94e6dc3a7dc6ca311785dd3bc78143
2275,apache/jackrabbit-oak,Java,0.958722,9,1,0.252104,158.916672,0.777778,1,250335,0.364322,136,1,1,1,1,57f9e987edc23dd7bb8d7566711762b09bafddfd
